year,geo_name,geo,naics_name,naics,num_ppl,num_ppl_moe,num_ppl_rca,avg_wage,avg_wage_moe
2014,United States,01000US,Construction,23,7499484,29442.3,1,45566.9,160.935
2014,United States,01000US,Construction,23,7499484,29442.3,1,45566.9,160.935
2014,United States,01000US,Construction,23,7499484,29442.3,1,45566.9,160.935
2014,United States,01000US,Management of companies & enterprises,55,105767,2772.02,1,90308,2145.78
2014,United States,01000US,Management of companies & enterprises,55,105767,2772.02,1,90308,2145.78
2014,United States,01000US,Farming,111,837437,10419.5,1,29566.8,368.01
2014,United States,01000US,Animal production & aquaculture,112,406654,5818.17,1,30339,481.664
2014,United States,01000US,"Fishing, hunting & trapping",114,30205,1623.23,1,41966.3,2387.48
2014,United States,01000US,Support activities for agriculture & forestry,115,126612,3853.9,1,32619.6,874.68
2014,United States,01000US,Oil & gas extraction,211,94903,2333.8,1,96233.2,2181.51
2014,United States,01000US,Support activities for mining,213,504382,6439.41,1,77942.7,831.858
2014,United States,01000US,Furniture & related product manufacturing,337,397484,6247.9,1,37946.1,533.427
2014,United States,01000US,Furniture & home furnishings stores,442,482674,6962.84,1,36689.7,498.964
2014,United States,01000US,Gasoline stations,447,489863,6310.67,1,25164.1,517.032
2014,United States,01000US,Air transportation,481,524885,8386.14,1,59699.5,613.298
2014,United States,01000US,Rail transportation,482,246025,5574.21,1,66237.3,625.644
2014,United States,01000US,Water transportation,483,74084,2377.56,1,66295.8,1934.79
2014,United States,01000US,Truck transportation,484,1502722,12193.8,1,44424.4,288.313
2014,United States,01000US,Pipeline transportation,486,53770,1773.6,1,82836.9,2278.48
2014,United States,01000US,Scenic & sightseeing transportation,487,29735,1646.04,1,33214.8,2026.54
2014,United States,01000US,Services incidental to transportation,488,700966,8380.71,1,49807.1,459.645
2014,United States,01000US,Postal Service,491,673751,8277.64,1,51280.6,280.714
2014,United States,01000US,Couriers & messengers,492,632380,6970.63,1,44135,482.912
2014,United States,01000US,Warehousing & storage,493,351826,6396.8,1,32852.5,518.954
2014,United States,01000US,Broadcasting (except internet),515,551917,6693.65,1,62009.1,738.653
2014,United States,01000US,Insurance carriers & related activities,524,2429893,13634,1,66815,352.154
2014,United States,01000US,Real estate,531,1953583,14347.1,1,52346.1,356.337
2014,United States,01000US,Waste management & remediation services,562,447333,6428.75,1,44680.7,567.343
2014,United States,01000US,Hospitals,622,6711554,29790.6,1,59967.8,212.599
2014,United States,01000US,"Performing arts, spectator sports & related industries",711,497046,6658.6,1,46669.7,915.535
2014,United States,01000US,"Museums, art galleries, historical sites, & similar institutions",712,370602,5510.19,1,33594.9,511.753
2014,United States,01000US,Private households,814,410117,5792.53,1,17202.8,290.53
2014,United States,01000US,Administration of human resource programs,923,838779,8229.45,1,51379.5,316.483
2014,United States,01000US,Logging,1133,73644,2180.07,1,35723.4,768.972
2014,United States,01000US,Coal mining,2121,100217,2924.68,1,71241.8,1295.16
2014,United States,01000US,Metal ore mining,2122,49660,2139.21,1,73671.4,1772.34
2014,United States,01000US,Nonmetallic mineral mining & quarrying,2123,85547,2564.56,1,52450.4,1331.05
2014,United States,01000US,Sugar & confectionery products,3113,80688,2844.4,1,47266.6,1381.09
2014,United States,01000US,Fruit & vegetable preserving & specialty food manufacturing,3114,169436,3934.42,1,43467.3,953.409
2014,United States,01000US,Dairy product manufacturing,3115,145442,4002.84,1,48177.6,956.518
2014,United States,01000US,Animal slaughtering & processing,3116,445836,7729.94,1,32994.6,507.116
2014,United States,01000US,Beverage manufacturing,3121,214960,4304.73,1,56055.5,1006.39
2014,United States,01000US,Tobacco manufacturing,3122,19642,1331.54,1,67757.9,3398.74
2014,United States,01000US,"Fiber, yarn, & thread mills",3131,13490,953.813,1,35799.7,3201.62
2014,United States,01000US,Textile & fabric finishing & coating mills,3133,14363,1273.54,1,39438.1,3110.12
2014,United States,01000US,Cut & sew apparel manufacturing,3152,226967,3767.74,1,35883.3,923.508
2014,United States,01000US,Apparel accessories & other apparel manufacturing,3159,9029,967.685,1,41650.7,4693.16
2014,United States,01000US,Footwear manufacturing,3162,26725,1493.99,1,48614.5,3417.44
2014,United States,01000US,Sawmills & wood preservation,3211,116110,3035.69,1,38537.7,836.364
2014,United States,01000US,"Veneer, plywood, & engineered wood products ",3212,36492,1643.26,1,42700.6,1650.79
2014,United States,01000US,"Pulp, paper, & paperboard mills ",3221,198457,3944.28,1,61884.6,860.611
2014,United States,01000US,Printing & related support activities,3231,554377,6979.61,1,45669.4,530.199
2014,United States,01000US,"Resin, synthetic rubber, & fibers & filaments manufacturing   ",3252,183695,4070.46,1,47891.6,792.073
2014,United States,01000US,Agricultural chemical manufacturing,3253,32959,1621.89,1,68205.3,3151.81
2014,United States,01000US,Pharmaceutical & medicine manufacturing,3254,449612,6145.19,1,95639,930.477
2014,United States,01000US,"Paint, coating, & adhesive manufacturing ",3255,63302,1947.11,1,60941.7,1747.61
2014,United States,01000US,"Soap, cleaning compound, & cosmetics manufacturing ",3256,134135,4182.06,1,59884.9,1459.02
2014,United States,01000US,Plastics product manufacturing,3261,345619,6212.24,1,43906.5,553.329
2014,United States,01000US,Glass & glass product manufacturing,3272,133561,3583.07,1,46900.4,1051.24
2014,United States,01000US,Miscellaneous nonmetallic mineral product manufacturing,3279,73152,2533.8,1,48219.1,1285.3
2014,United States,01000US,Aluminum production & processing,3313,68530,2454.69,1,54424.1,1729.04
2014,United States,01000US,Nonferrous metal (except aluminum) production & processing,3314,60724,2310.75,1,52855.4,1337.62
2014,United States,01000US,Foundries,3315,98128,2897.27,1,47944.8,1207.36
2014,United States,01000US,Metal forgings & stampings,3321,59939,1969.8,1,46936.3,1370.25
2014,United States,01000US,Cutlery & hand tool manufacturing,3322,41044,1783.62,1,49120.6,1928.53
2014,United States,01000US,"Machine shops; turned product; screw, nut & bolt manufacturing  ",3327,299776,5086.19,1,45381.7,578.528
2014,United States,01000US,"Coating, engraving, heat treating & allied activities ",3328,81630,2665.35,1,43998.6,1300.38
2014,United States,01000US,Commercial & service industry machinery manufacturing,3333,89610,2711.84,1,59976.1,1592.92
2014,United States,01000US,Metalworking machinery manufacturing,3335,153074,3187.17,1,53026.2,1055.07
2014,United States,01000US,"Engine, turbine, & power transmission equipment manufacturing ",3336,78122,2259.33,1,65323.8,1653.87
2014,United States,01000US,Computer & peripheral equipment manufacturing,3341,206986,4285.91,1,96703.2,1504.12
2014,United States,01000US,"Navigational, measuring, electromedical, & control instruments manufacturing",3345,251960,4593.52,1,74675.6,954.967
2014,United States,01000US,Household appliance manufacturing,3352,67144,2503.24,1,51262.7,1582.4
2014,United States,01000US,Railroad rolling stock manufacturing,3365,30478,1492.35,1,56948.5,2454.79
2014,United States,01000US,Ship & boat building,3366,173000,3655.88,1,54613.2,924.849
2014,United States,01000US,Other transportation equipment manufacturing,3369,35327,2054.96,1,53614.9,2155.55
2014,United States,01000US,Medical equipment & supplies manufacturing,3391,564314,6762.57,1,69423.3,838.439
2014,United States,01000US,Motor vehicle & motor vehicle parts & supplies merchant wholesalers,4231,215835,4718.4,1,45822.3,890.835
2014,United States,01000US,Furniture & home furnishing merchant wholesalers,4232,76911,2759.6,1,52163,1752.93
2014,United States,01000US,Lumber & other construction materials merchant wholesalers,4233,158361,3804.57,1,52215.2,1189.25
2014,United States,01000US,Professional & commercial equipment & supplies merchant wholesalers,4234,342957,5441.93,1,73248.6,1254.19
2014,United States,01000US,Metals & minerals (except petroleum) merchant wholesalers,4235,60754,2245.19,1,62107.4,2080.56
2014,United States,01000US,Household appliances & electrical & electronic goods merchant wholesalers,4236,231183,5120.52,1,65621.8,1145.93
2014,United States,01000US,"Hardware, & plumbing & heating equipment, & supplies merchant wholesalers",4237,155602,3931.51,1,56428.1,1309.42
2014,United States,01000US,"Machinery, equipment, & supplies merchant wholesalers     ",4238,374788,5885.49,1,60483.4,871.173
2014,United States,01000US,Paper & paper products merchant wholesalers,4241,64349,2223.81,1,57705.6,2189.33
2014,United States,01000US,"Apparel, piece goods, & notions merchant wholesalers",4243,125435,3396.29,1,54328.6,1605.21
2014,United States,01000US,Grocery & related product merchant wholesalers,4244,798733,8930.88,1,46759.8,484.754
2014,United States,01000US,Farm product raw material merchant wholesalers,4245,57545,2092.64,1,48706.3,1658.99
2014,United States,01000US,Petroleum & petroleum products merchant wholesalers,4247,115254,3339.42,1,74721.4,2497
2014,United States,01000US,Alcoholic beverages merchant wholesalers,4248,124235,3715.81,1,55130.5,1202.28
2014,United States,01000US,Wholesale electronic markets & agents & brokers,4251,91631,3213.98,1,61891.6,2106.21
2014,United States,01000US,Car Dealers,4411,1121437,10451.9,1,48039.6,428.709
2014,United States,01000US,Other motor vehicle dealers,4412,129319,3229.22,1,43057,995.985
2014,United States,01000US,"Automotive parts, accessories, & tire stores  ",4413,455994,7608.55,1,33283.8,519.196
2014,United States,01000US,Lawn & garden equipment & supplies stores,4442,222370,4352.95,1,35440.8,721.413
